fun,acc,ture_acc
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.992091829578,0.9605
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991308500369,0.9579
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.967583373189,0.9697
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993233491977,0.9686
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991683505476,0.9578
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991275161505,0.9576
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.969916716218,0.9721
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993141832451,0.9661
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.990900161366,0.9591
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991175167263,0.9567
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.969000026584,0.9714
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993658500413,0.9706
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991916817923,0.9626
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991650186479,0.9578
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.964750034114,0.9678
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993458501995,0.9667
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991416836778,0.96
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.990916845699,0.9544
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.969000041485,0.9709
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993266830842,0.9653
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991866831978,0.9614
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991250164807,0.9582
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.964916706085,0.9702
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.992866836488,0.9638
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991200176378,0.9573
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991291840871,0.9537
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.966916710138,0.9659
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.99327518791,0.972
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.992225165168,0.9615
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991375160714,0.9599
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.967166692019,0.9703
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.992941836516,0.9606
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991908505559,0.9634
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991658506294,0.9558
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.965916710595,0.9679
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.99395849059,0.9705
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.992050165931,0.9583
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.99165849636,0.9586
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.968000051876,0.9715
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993966835241,0.9682
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991716826955,0.956
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991258499523,0.9581
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.965083370606,0.9627
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993300169706,0.966
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.99125016729,0.9587
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991075185438,0.9583
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.965833358467,0.9712
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993141815066,0.9626
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991741833587,0.9575
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991291838388,0.9573
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.966500041385,0.9707
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993541836739,0.9715
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.99179183195,0.96
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.990900186201,0.9561
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.96883337448,0.9671
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993900162478,0.9689
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991841847698,0.9619
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991058508555,0.9574
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.968166699012,0.9663
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993100163837,0.9693
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991683500508,0.9599
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991658488909,0.9565
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991658503811,0.9548
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.96983337899,0.969
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993091834088,0.9688
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991891828676,0.9621
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991283508639,0.9568
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.963916704059,0.9628
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993008509278,0.9633
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.99210015436,0.9588
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.99144184341,0.9577
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.964500024915,0.9689
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.991666828593,0.9569
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991308502853,0.9587
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991366828481,0.9569
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.966500046353,0.9652
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993633516133,0.9658
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.992166819672,0.9599
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991216855745,0.9576
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.968083374202,0.9706
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993700169027,0.9727
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991475172341,0.9577
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991300155719,0.9574
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.969416710238,0.9698
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993733505408,0.9703
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.990741819143,0.9531
